RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
116,"Andre Iguodala, GS",21,27.4,0.642,32.9,9.8,12.4,4.9,12.3,8.9,15.87,46.2,1.5
117,"Jae Crowder, BOS",20,30.3,0.575,15,12.2,16.6,4.3,12.5,8.2,15.86,48.4,1.6
118,"Cory Joseph, TOR",21,26,0.574,23.7,9.2,16.5,2.3,8.9,5.6,15.76,38.9,1.3
119,"Luis Scola, TOR",21,23.1,0.528,7.6,8.1,18.8,7.5,20.9,14.3,15.73,30.7,1
120,"Mike Scott, ATL",20,11.6,0.553,18,9.7,20.4,5.8,12.7,9.3,15.64,14.3,0.5
121,"Jabari Parker, MIL",15,23.9,0.535,8.5,6.7,18,5.5,13.8,9.7,15.53,21.5,0.7
122,"Jeremy Lin, CHA",19,22.7,0.527,20.1,11.7,22.1,2.2,10.9,6.5,15.5,29,1
123,"Evan Fournier, ORL",20,33.2,0.568,12.9,8.8,20.2,1.3,10.7,5.9,15.47,49.2,1.6
124,"Rodney Stuckey, IND",14,25.1,0.519,17.1,9.9,21.1,2.2,12.9,7.5,15.4,23.1,0.8
125,"Thabo Sefolosha, ATL",18,25.1,0.594,16.1,12.4,12.8,3.7,18.6,11.2,15.36,32.8,1.1
,"Terrence Jones, HOU",16,25.9,0.529,8.1,10,19,8.1,14.7,11.3,15.36,23.9,0.8
127,"Klay Thompson, GS",20,31.5,0.581,12.2,10.3,21.5,1.3,10.3,6.1,15.34,45.4,1.5
128,"Jarrett Jack, BKN",18,31.2,0.514,29.7,12.7,23.5,0.8,14.4,7.5,15.29,35.9,1.2
