aquired,date,notes,relinquished,team
,2013-12-30,illness (DNP),Wayne Ellington,Mavericks
,2013-12-30,sore shoulder (DNP),Rodney Stuckey,Pistons
,2013-12-31,sprained left ankle (DNP),John Henson,Bucks
,2013-12-31,surgery to repair torn pectoracl muscle (out for season),Al Horford,Hawks
,2013-12-31,sprained right thumb (DNP),DeMarre Carroll,Hawks
,2013-12-31,nerve root irritation (DNP),Steve Blake,Lakers
,2013-12-31,illness (DNP),Wesley Johnson / Wes Johnson,Lakers
,2013-12-31,bone bruise in right knee (DNP),Xavier Henry,Lakers
,2013-12-31,hamstring injury (DNP),Tyshawn Taylor,Nets
,2013-12-31,sprained right knee (DNP),Greg Smith (a),Rockets
,2013-12-31,bruised right thigh (DNP),Omer Asik,Rockets
,2014-01-01,torn right Achilles tendon (DNP),Jeffery Taylor / Jeff Taylor (b),Bobcats
,2014-01-01,illness (DNP),Wayne Ellington,Mavericks
,2014-01-02,torn right Achilles tendon (DNP),Jeffery Taylor / Jeff Taylor (b),Bobcats
,2014-01-02,sprained left ankle (DNP),John Henson,Bucks
,2014-01-02,bruised left knee (DTD),Kyrie Irving,Cavaliers
,2014-01-02,sore left knee (DNP),Metta World Peace / Ron Artest,Knicks
,2014-01-02,sprained left ankle (DNP),Nikola Vucevic,Magic
,2014-01-02,hamstring injury (DNP),Tyshawn Taylor,Nets
,2014-01-02,right knee injury (DTD),Eric Bledsoe,Suns
,2014-01-03,separated right shoulder (out indefinitely),Chris Paul,Clippers
,2014-01-03,sore left ankle (DNP),Kenyon Martin,Knicks
,2014-01-03,sore left knee (DNP),Metta World Peace / Ron Artest,Knicks
,2014-01-03,torn left hamstring (DNP),Jordan Farmar,Lakers
,2014-01-03,torn ligament in right elbow (DNP),Steve Blake,Lakers
,2014-01-03,bone bruise in right knee (DNP),Xavier Henry,Lakers
,2014-01-03,illness (DNP),Wayne Ellington,Mavericks
,2014-01-03,bruised right thigh (DNP),Omer Asik,Rockets
,2014-01-04,torn right Achilles tendon (DNP),Jeffery Taylor / Jeff Taylor (b),Bobcats
,2014-01-04,sprained left ankle (DNP),John Henson,Bucks
,2014-01-04,sore/bruised right knee (DNP),Carlos Boozer,Bulls
,2014-01-04,separated right shoulder (DNP),Chris Paul,Clippers
,2014-01-04,sprained left ankle (DNP),Nikola Vucevic,Magic
,2014-01-04,surgery on right foot to repair fracture (out for season),Brook Lopez,Nets
,2014-01-04,sprained right knee (DNP),Eric Bledsoe,Suns
,2014-01-04,strained left groin (DNP),Luc Richard Mbah a Moute / Luc Mbah a Moute,Timberwolves
,2014-01-05,back spasms (DNP),Jarrett Jack,Cavaliers
,2014-01-05,hand injury (DNP),Tony Allen,Grizzlies
,2014-01-05,sore left knee (DNP),Metta World Peace / Ron Artest,Knicks
,2014-01-05,torn left hamstring (DNP),Jordan Farmar,Lakers
,2014-01-05,torn ligament in right elbow (DNP),Steve Blake,Lakers
,2014-01-05,bone bruise in right knee (DNP),Xavier Henry,Lakers
,2014-01-05,sore shoulder (DNP),Rodney Stuckey,Pistons
,2014-01-06,flu (DNP),Tony Wroten Jr.,76ers
,2014-01-06,sinus infection (DNP),Ronnie Price,Magic
,2014-01-06,sprained left ankle (DNP),Deron Williams,Nets
,2014-01-06,strained left groin (DNP),Luc Richard Mbah a Moute / Luc Mbah a Moute,Timberwolves
,2014-01-07,flu (DNP),Tony Wroten Jr.,76ers
,2014-01-07,torn right Achilles tendon (DNP),Jeffery Taylor / Jeff Taylor (b),Bobcats
,2014-01-07,sprained left ankle (DNP),John Henson,Bucks
,2014-01-07,sore right knee (DNP),Carlos Boozer,Bulls
,2014-01-07,sprained left ankle (DNP),Kris Humphries,Celtics
,2014-01-07,hand injury (DNP),Tony Allen,Grizzlies
,2014-01-07,right Achilles injury (DNP),Mario Chalmers,Heat
,2014-01-07,flu (DNP),Andris Biedrins,Jazz
,2014-01-07,upper respiratory infection (DNP),Tyson Chandler,Knicks
,2014-01-07,torn left hamstring (DNP),Jordan Farmar,Lakers
,2014-01-07,torn ligament in right elbow (DNP),Steve Blake,Lakers
,2014-01-07,bone bruise in right knee (DNP),Xavier Henry,Lakers
,2014-01-07,sore shoulder (DNP),Rodney Stuckey,Pistons
,2014-01-07,sprained/separated right shoulder (DNP),Tiago Splitter,Spurs
,2014-01-07,flu (DNP),Serge Ibaka,Thunder
,2014-01-08,torn left hamstring (DNP),Jordan Farmar,Lakers
,2014-01-08,torn ligament in right elbow (DNP),Steve Blake,Lakers
,2014-01-08,bone bruise in right knee (DNP),Xavier Henry,Lakers
,2014-01-08,concussion (DNP),Nikola Vucevic,Magic
,2014-01-08,sinus infection (DNP),Ronnie Price,Magic
,2014-01-08,sprained left ankle (DNP),Deron Williams,Nets
,2014-01-08,sore right knee (DNP),Chandler Parsons,Rockets
,2014-01-08,sprained/sore right / left (CBC) knee (DNP),Greg Smith (a),Rockets
,2014-01-08,bruised right thigh (DNP),Omer Asik,Rockets
,2014-01-08,tightness in left hamstring (DNP),Emanuel Ginobili / Manu Ginobili,Spurs
,2014-01-08,sprained right shoulder (DNP),Tiago Splitter,Spurs
,2014-01-09,strained right Achilles (DNP),Mario Chalmers,Heat
,2014-01-09,left knee injury (DNP),Beno Udrih,Knicks
,2014-01-09,upper respiratory infection (DNP),Tyson Chandler,Knicks
,2014-01-09,strained left hip (DNP),Wilson Chandler,Nuggets
,2014-01-10,strained right calf (DNP),Lavoy Allen,76ers
,2014-01-10,torn right Achilles tendon (DNP),Jeffery Taylor / Jeff Taylor (b),Bobcats
,2014-01-10,sprained left ankle (DNP),John Henson,Bucks
,2014-01-10,hand injury (DNP),Tony Allen,Grizzlies
,2014-01-10,knee injury / rest (DNP),Dwyane Wade,Heat
,2014-01-10,strained right Achilles (DNP),Mario Chalmers,Heat
,2014-01-10,strained left hip flexor (DNP),Gordon Hayward,Jazz
,2014-01-10,torn left hamstring (DNP),Jordan Farmar,Lakers
,2014-01-10,torn ligament in right elbow (DNP),Steve Blake,Lakers
,2014-01-10,bone bruise in right knee (DNP),Xavier Henry,Lakers
,2014-01-10,concussion (DNP),Nikola Vucevic,Magic
,2014-01-10,sinus infection (DNP),Ronnie Price,Magic
,2014-01-10,illness (DNP),Wayne Ellington,Mavericks
,2014-01-10,sprained left ankle (DNP),Deron Williams,Nets
,2014-01-10,stress fracture in right ankle/tibia (DNP),Jrue Holiday,Pelicans
,2014-01-10,sore right knee (DNP),Chandler Parsons,Rockets
,2014-01-10,bruised right thigh (DNP),Omer Asik,Rockets
,2014-01-10,arthroscopic surgery on right knee to repair meniscus cartilage,Eric Bledsoe,Suns
,2014-01-11,strained right calf (DNP),Lavoy Allen,76ers
,2014-01-11,torn right Achilles tendon (DNP),Jeffery Taylor / Jeff Taylor (b),Bobcats
,2014-01-11,sprained left ankle (DNP),John Henson,Bucks
,2014-01-11,bruised thigh (DNP),Jimmy Butler,Bulls
,2014-01-11,inflammation (DNP),Beno Udrih,Knicks
,2014-01-11,upper respiratory infection (DNP),Tyson Chandler,Knicks
,2014-01-11,sprained right foot (DNP),Arron Afflalo,Magic
,2014-01-11,concussion (DNP),Nikola Vucevic,Magic
,2014-01-11,sinus infection (DNP),Ronnie Price,Magic
,2014-01-11,illness (DNP),Wayne Ellington,Mavericks
,2014-01-11,rest (DNP),Kevin Garnett,Nets
,2014-01-11,sprained left ankle (DNP),Anthony Randolph,Nuggets
,2014-01-11,strained left hip (DNP),Wilson Chandler,Nuggets
,2014-01-11,stress fracture in right ankle/tibia (DNP),Jrue Holiday,Pelicans
,2014-01-11,sore left ankle (DNP),Tyreke Evans,Pelicans
,2014-01-11,sore right knee (DNP),Chandler Parsons,Rockets
,2014-01-11,bruised right thigh (DNP),Omer Asik,Rockets
,2014-01-12,hand injury (DNP),Tony Allen,Grizzlies
,2014-01-12,back spasms (DNP),Pero Antic,Hawks
,2014-01-12,tightness in left hamstring (DNP),Emanuel Ginobili / Manu Ginobili,Spurs
,2014-01-13,flu (DTD),Andris Biedrins,Jazz
,2014-01-13,upper respiratory infection (DNP),Tyson Chandler,Knicks
,2014-01-13,sprained right foot (DNP),Arron Afflalo,Magic
,2014-01-13,concussion (DNP),Nikola Vucevic,Magic
,2014-01-13,sinus infection (DNP),Ronnie Price,Magic
,2014-01-13,sprained left ankle (DNP),Anthony Randolph,Nuggets
,2014-01-13,strained left groin (DNP),Darrell Arthur,Nuggets
,2014-01-13,stress fracture in right ankle/tibia (DNP),Jrue Holiday,Pelicans
,2014-01-13,sprained left ankle (DNP),Tyreke Evans,Pelicans
,2014-01-13,bruised right thigh (DNP),Omer Asik,Rockets
,2014-01-13,fractured left index finger (DNP),Danny Green,Spurs
,2014-01-13,bruised right shoulder (DNP),Shawn Marion,Mavericks
,2014-01-14,hand injury (DNP),Tony Allen,Grizzlies
,2014-01-14,torn left hamstring (DNP),Jordan Farmar,Lakers
,2014-01-14,torn ligament in right elbow (DNP),Steve Blake,Lakers
,2014-01-14,bone bruise in right knee (DNP),Xavier Henry,Lakers
,2014-01-15,strained right calf (DNP),Lavoy Allen,76ers
,2014-01-15,hand injury (DNP),Tony Allen,Grizzlies
,2014-01-15,torn left hamstring (DNP),Jordan Farmar,Lakers
,2014-01-15,torn ligament in right elbow (DNP),Steve Blake,Lakers
,2014-01-15,bone bruise in right knee (DNP),Xavier Henry,Lakers
,2014-01-15,sprained right foot (DNP),Arron Afflalo,Magic
,2014-01-15,concussion (DNP),Nikola Vucevic,Magic
,2014-01-15,strained left groin (DNP),Darrell Arthur,Nuggets
,2014-01-15,stress fracture in right ankle/tibia (DNP),Jrue Holiday,Pelicans
,2014-01-15,sprained left ankle (DNP),Tyreke Evans,Pelicans
,2014-01-15,tendinitis in knee (DNP),Aaron Brooks,Rockets
,2014-01-15,bruised right thigh (DNP),Omer Asik,Rockets
,2014-01-15,sprained right shoulder (DNP),Leandro Barbosa,Suns
,2014-01-16,sore right knee (DNP),Greg Smith (a),Rockets
,2014-01-16,bruised right thigh (DNP),Omer Asik,Rockets
,2014-01-17,left calf injury (P) / strained right calf (CBC) (DNP),Lavoy Allen,76ers
,2014-01-17,hand injury (DNP),Tony Allen,Grizzlies
,2014-01-17,knee injury (DNP),Greg Oden,Heat
,2014-01-17,sprained left ankle (DNP),Amare Stoudemire / Amar'e Stoudemire,Knicks
,2014-01-17,sprained left ankle (DNP),Kenyon Martin,Knicks
,2014-01-17,torn left hamstring (DNP),Jordan Farmar,Lakers
,2014-01-17,torn ligament in right elbow (DNP),Steve Blake,Lakers
,2014-01-17,bone bruise in right knee (DNP),Xavier Henry,Lakers
,2014-01-17,concussion (DNP),Nikola Vucevic,Magic
,2014-01-17,sprained right foot (DNP),Ronnie Price,Magic
,2014-01-17,arthroscopic surgery on right knee to repair torn lateral meniscus (out indefinitely),Gal Mekel,Mavericks
,2014-01-17,strained left groin/hip (DNP),Darrell Arthur,Nuggets
,2014-01-17,sprained right shoulder (DNP),Leandro Barbosa,Suns
,2014-01-18,rest (DNP),Dwyane Wade,Heat
,2014-01-18,right knee injury (DNP),Jason Smith,Pelicans
,2014-01-18,stress fracture in right ankle/tibia (DNP),Jrue Holiday,Pelicans
,2014-01-18,sore right knee (DNP),Greg Smith (a),Rockets
,2014-01-18,bruised right thigh (DNP),Omer Asik,Rockets
,2014-01-19,sprained left ankle (DTD),Kemba Walker,Bobcats
,2014-01-19,illness (DNP),Caron Butler,Bucks
,2014-01-19,torn left hamstring (DNP),Jordan Farmar,Lakers
,2014-01-19,torn ligament in right elbow (DNP),Steve Blake,Lakers
,2014-01-19,bone bruise in right knee (DNP),Xavier Henry,Lakers
,2014-01-19,concussion (DNP),Nikola Vucevic,Magic
,2014-01-19,sprained right foot (DNP),Ronnie Price,Magic
,2014-01-19,strained left groin/hip (DNP),Darrell Arthur,Nuggets
,2014-01-19,stomach virus (DNP),Randy Foye,Nuggets
,2014-01-19,bruised right shin (DNP),(William) Tony Parker,Spurs
,2014-01-19,fractured nose (DNP),Matt Bonner,Spurs
,2014-01-19,back spasms (DNP),John Salmons,Raptors
,2014-01-20,finger injury (DTD),Brandon Davies,76ers
,2014-01-20,sprained right ankle (DNP),Tony Wroten Jr.,76ers
,2014-01-20,hand injury (DNP),Tony Allen,Grizzlies
,2014-01-20,sprained left ankle (DNP),Amare Stoudemire / Amar'e Stoudemire,Knicks
,2014-01-20,torn left hamstring (DNP),Jordan Farmar,Lakers
,2014-01-20,torn ligament in right elbow (DNP),Steve Blake,Lakers
,2014-01-20,bone bruise in right knee (DNP),Xavier Henry,Lakers
,2014-01-20,illness (DNP),Anthony Morrow,Pelicans
,2014-01-20,right knee injury (DNP),Jason Smith,Pelicans
,2014-01-20,stress fracture in right ankle/tibia (DNP),Jrue Holiday,Pelicans
,2014-01-20,sore right knee (DNP),Greg Smith (a),Rockets
,2014-01-20,bruised left thigh (DNP),Terrence Jones,Rockets
,2014-01-20,sprained left ankle (DNP),Trevor Booker,Wizards
,2014-01-21,sprained left big toe (DNP),Jerryd Bayless,Celtics
,2014-01-21,concussion (DNP),Nikola Vucevic,Magic
,2014-01-21,sprained right foot (DNP),Ronnie Price,Magic
,2014-01-21,surgery on left knee to reconstruct ACL (out for season),Danilo Gallinari,Nuggets
,2014-01-21,illness (DNP),Anthony Morrow,Pelicans
,2014-01-21,right knee injury (DNP),Jason Smith,Pelicans
,2014-01-21,stress fracture in right ankle/tibia (DNP),Jrue Holiday,Pelicans
,2014-01-22,sprained right ankle (DNP),Tony Wroten Jr.,76ers
,2014-01-22,sprained left ankle (DNP),Kemba Walker,Bobcats
,2014-01-22,illness (DNP),Larry Sanders,Bucks
,2014-01-22,illness (DNP),O.J. Mayo,Bucks
,2014-01-22,left calf injury (DNP),Carlos Boozer,Bulls
,2014-01-22,sprained right ankle (out indefinitely),Avery Bradley,Celtics
,2014-01-22,rest / sore right knee (DNP),Rajon Rondo,Celtics
,2014-01-22,sprained left ankle (DNP),Amare Stoudemire / Amar'e Stoudemire,Knicks
,2014-01-22,concussion (DNP),Nikola Vucevic,Magic
,2014-01-22,sprained right foot (DNP),Ronnie Price,Magic
,2014-01-22,surgery on right wrist (out indefinitely),Landry Fields,Raptors
,2014-01-22,sore right calf (DNP),Ronnie Brewer,Rockets
,2014-01-22,sore right knee (DNP),Greg Smith (a),Rockets
,2014-01-22,bruised left thigh (DNP),Terrence Jones,Rockets
,2014-01-22,fractured right hand (out indefinitely),Kawhi Leonard,Spurs
,2014-01-22,sore left knee (DNP),Francisco Garcia,Rockets
,2014-01-23,stress fracture in right ankle (out indefinitely),Pero Antic,Hawks
,2014-01-23,torn ligament in left elbow (out for season),Andrea Bargnani,Knicks
,2014-01-23,torn left hamstring (DNP),Jordan Farmar,Lakers
,2014-01-23,torn ligament in right elbow (DNP),Steve Blake,Lakers
,2014-01-23,bone bruise in right knee (DNP),Xavier Henry,Lakers
,2014-01-23,strained left groin/hip (DNP),Darrell Arthur,Nuggets
,2014-01-24,fractured right pinky finger (DNP),Brandon Davies,76ers
,2014-01-24,sprained right ankle (DNP),Tony Wroten Jr.,76ers
,2014-01-24,sprained left ankle (DNP),Kemba Walker,Bobcats
,2014-01-24,hand injury / sprained left wrist (DNP),Tony Allen,Grizzlies
,2014-01-24,strained left hamstring (DNP),DeMarre Carroll,Hawks
,2014-01-24,stress fracture in right ankle (DNP),Pero Antic,Hawks
,2014-01-24,sprained left ankle (DNP),Amare Stoudemire / Amar'e Stoudemire,Knicks
,2014-01-24,torn left hamstring (DNP),Jordan Farmar,Lakers
,2014-01-24,torn ligament in right elbow (DNP),Steve Blake,Lakers
,2014-01-24,bone bruise in right knee (DNP),Xavier Henry,Lakers
,2014-01-24,concussion (DNP),Nikola Vucevic,Magic
,2014-01-24,sprained right foot (DNP),Ronnie Price,Magic
,2014-01-24,right knee injury (DNP),Jason Smith,Pelicans
,2014-01-24,stress fracture in right ankle/tibia (DNP),Jrue Holiday,Pelicans
,2014-01-24,illness (DNP),Tyreke Evans,Pelicans
,2014-01-24,sore right calf (DNP),Ronnie Brewer,Rockets
,2014-01-24,sore left knee (DNP),Francisco Garcia,Rockets
,2014-01-24,sore right knee (DNP),Greg Smith (a),Rockets
,2014-01-24,sore shoulder (DNP),Kevin Durant,Thunder
,2014-01-24,flu (DNP),Martell Webster,Wizards
,2014-01-25,sprained left ankle (DNP),Kemba Walker,Bobcats
,2014-01-25,sprained left ankle (DNP),Ekpe Udoh,Bucks
,2014-01-25,hand injury (DNP),Tony Allen,Grizzlies
,2014-01-25,sprained left ankle (DNP),Jeff Teague,Hawks
,2014-01-25,strained left groin/hip (DNP),Darrell Arthur,Nuggets
,2014-01-25,sore right calf (DNP),Ronnie Brewer,Rockets
,2014-01-25,sore left knee (DNP),Francisco Garcia,Rockets
,2014-01-25,sore right knee (DNP),Greg Smith (a),Rockets
,2014-01-26,surgery on right foot (out for season) (CBC),Carlos Delfino,Bucks
,2014-01-26,sprained left ankle (DNP),Amare Stoudemire / Amar'e Stoudemire,Knicks
,2014-01-26,stomach virus (DNP),Metta World Peace / Ron Artest,Knicks
,2014-01-26,torn left hamstring (DNP),Jordan Farmar,Lakers
,2014-01-26,torn ligament in right elbow (DNP),Steve Blake,Lakers
,2014-01-26,bone bruise in right knee (DNP),Xavier Henry,Lakers
,2014-01-26,concussion (DNP),Nikola Vucevic,Magic
,2014-01-26,sprained right foot (DNP),Ronnie Price,Magic
,2014-01-26,strained left groin/hip (DNP),Darrell Arthur,Nuggets
,2014-01-26,right knee injury (DNP),Jason Smith,Pelicans
,2014-01-26,stress fracture in right ankle/tibia (DNP),Jrue Holiday,Pelicans
,2014-01-27,sprained left ankle (DNP),Ekpe Udoh,Bucks
,2014-01-27,illness (DNP),Larry Sanders,Bucks
,2014-01-27,illness (DNP),O.J. Mayo,Bucks
,2014-01-27,illness (DNP),Joakim Noah,Bulls
,2014-01-27,sprained left ankle (DNP),Jeff Teague,Hawks
,2014-01-27,sprained left ankle/foot (DNP),DeMar DeRozan,Raptors
,2014-01-28,hand injury (DNP),Tony Allen,Grizzlies
,2014-01-28,illness (DTD),Beno Udrih,Knicks
,2014-01-28,torn left hamstring (DNP),Jordan Farmar,Lakers
,2014-01-28,torn ligament in right elbow (DNP),Steve Blake,Lakers
,2014-01-28,bone bruise in right knee (DNP),Xavier Henry,Lakers
,2014-01-28,concussion (DNP),Nikola Vucevic,Magic
,2014-01-28,sprained right foot (DNP),Ronnie Price,Magic
,2014-01-28,stress fracture in right ankle/tibia (DNP),Jrue Holiday,Pelicans
,2014-01-28,stomach virus (DNP),Charlie Villanueva,Pistons
,2014-01-28,sore right calf (DNP),Ronnie Brewer,Rockets
,2014-01-28,sore left knee (DNP),Francisco Garcia,Rockets
,2014-01-28,sore right knee (DNP),Greg Smith (a),Rockets
,2014-01-28,bruised left thumb (DNP),James Harden,Rockets
,2014-01-28,bursitis in right ankle (out indefinitely),Nikola Pekovic,Timberwolves
,2014-01-29,fractured right pinky finger (DNP),Brandon Davies,76ers
,2014-01-29,illness (DNP),Ben Gordon,Bobcats
,2014-01-29,sprained left ankle (DNP),Kemba Walker,Bobcats
,2014-01-29,sprained left ankle (DNP),Ekpe Udoh,Bucks
,2014-01-29,illness (DNP),O.J. Mayo,Bucks
,2014-01-29,rest / sore right knee (DNP),Rajon Rondo,Celtics
,2014-01-29,illness (DNP),Antawn Jamison,Clippers
,2014-01-29,hand injury (DNP),Tony Allen,Grizzlies
,2014-01-29,sprained right foot (DNP),Ronnie Price,Magic
,2014-01-29,strained left rotator cuff (DNP),Ty Lawson,Nuggets
,2014-01-29,finger injury (DNP),Anthony Davis,Pelicans
,2014-01-29,right knee injury (DNP),Jason Smith,Pelicans
,2014-01-29,stress fracture in right ankle/tibia (DNP),Jrue Holiday,Pelicans
,2014-01-29,fractured nose (DNP),Patrick Patterson,Raptors
,2014-01-29,sore left knee (DNP),Francisco Garcia,Rockets
,2014-01-29,sore right knee (DNP),Greg Smith (a),Rockets
,2014-01-29,bruised left thumb (DNP),James Harden,Rockets
,2014-01-30,illness (DNP),Beno Udrih,Knicks
,2014-01-30,sprained right shoulder (DNP),Iman Shumpert,Knicks
,2014-01-30,sprained left ankle (DNP),Kenyon Martin,Knicks
,2014-01-31,fractured right pinky finger (DNP),Brandon Davies,76ers
,2014-01-31,sprained left ankle (DNP),Kemba Walker,Bobcats
,2014-01-31,sprained left ankle (DNP),Ekpe Udoh,Bucks
,2014-01-31,sprained right wrist (DNP),John Henson,Bucks
,2014-01-31,illness (DNP),O.J. Mayo,Bucks
,2014-01-31,hand injury (DNP),Tony Allen,Grizzlies
,2014-01-31,sore back (DNP),John Lucas III,Jazz
,2014-01-31,torn left hamstring (DNP),Jordan Farmar,Lakers
,2014-01-31,torn ligament in right elbow (DNP),Steve Blake,Lakers
,2014-01-31,bone bruise in right knee (DNP),Xavier Henry,Lakers
,2014-01-31,sore right calf (DNP),Andrei Kirilenko,Nets
,2014-01-31,strained left rotator cuff (DNP),Ty Lawson,Nuggets
,2014-01-31,sore/sprained left shoulder (DNP),David Lee,Warriors
,2014-01-31,torn ACL in left knee (out indefinitely),Nate Robinson,Nuggets
,2014-01-31,surgery on left knee to repair torn ACL (out indefinitely),Nate Robinson,Nuggets
,2014-02-01,fractured right pinky finger (DNP),Brandon Davies,76ers
,2014-02-01,sore right shoulder (DNP),Michael Carter-Williams,76ers
,2014-02-01,sprained left ankle (DNP),Kemba Walker,Bobcats
,2014-02-01,sprained left ankle (DNP),Ekpe Udoh,Bucks
,2014-02-01,illness (DNP),O.J. Mayo,Bucks
,2014-02-01,hand injury (DNP),Tony Allen,Grizzlies
,2014-02-01,sore back (DNP),John Lucas III,Jazz
,2014-02-01,strained right groin (DNP),Pau Gasol,Lakers
,2014-02-01,hip injury (DNP),Andray Blatche,Nets
,2014-02-01,sore right calf (DNP),Andrei Kirilenko,Nets
,2014-02-01,right knee injury (DNP),Jason Smith,Pelicans
,2014-02-01,stress fracture in right ankle/tibia (DNP),Jrue Holiday,Pelicans
,2014-02-01,sore left knee (DNP),Francisco Garcia,Rockets
,2014-02-01,sore right knee (DNP),Greg Smith (a),Rockets
,2014-02-01,bruised left knee (DNP),Anderson Varejao,Cavaliers
,2014-02-01,sprained left ankle (DNP),DeMarcus Cousins,Kings
,2014-02-02,sore left knee (DNP),Jameer Nelson,Magic
,2014-02-03,sprained left ankle (DNP),Ekpe Udoh,Bucks
